station_id,station_name,line,type_of_train,interchange,connecting,starting time,frequency
1,Kwasa Damansara,KGL,MRT,30,,600,8
2,Kwasa Sentral,KGL,MRT,,,600,8
3,Kota Damansara,KGL,MRT,,,600,8
4,Surian,KGL,MRT,,,600,8
5,Mutiara Damansara,KGL,MRT,,,600,8
6,Bandar Utama,KGL,MRT,149,,600,8
7,Taman Tun Dr Ismail (TTDI),KGL,MRT,,,600,8
8,Phileo Damansara,KGL,MRT,,,600,8
9,Pusat Bandar Damansara,KGL,MRT,,,600,8
10,Semantan,KGL,MRT,,,600,8
11,Muzium Negara,KGL,MRT,,"79, 169",600,8
12,Pasar Seni,KGL,MRT,78,,600,8
13,Merdeka,KGL,MRT,"109, 127",,600,8
14,Bukit Bintang,KGL,MRT,,174,600,8
15,Tun Razak Exchange (TRX),KGL,MRT,50,,600,8
16,Cochrane,KGL,MRT,,,600,8
17,Maluri,KGL,MRT,114,,600,8
18,Taman Pertama,KGL,MRT,,,600,8
19,Taman Midah,KGL,MRT,,,600,8
20,Taman Mutiara,KGL,MRT,,,600,8
21,Taman Connaught,KGL,MRT,,,600,8
22,Taman Suntex,KGL,MRT,,,600,8
23,Sri Raya,KGL,MRT,,,600,8
24,Bandar Tun Hussein Onn,KGL,MRT,,,600,8
25,Batu 11 Cheras,KGL,MRT,,,600,8
26,Bukit Dukung,KGL,MRT,,,600,8
27,Sungai Jernih,KGL,MRT,,,600,8
28,Stadium Kajang,KGL,MRT,,,600,8
29,Kajang,KGL,MRT,,,600,8
30,Kwasa Damansara,PYL,MRT,1,,600,10
31,Kampung Selamat,PYL,MRT,,,600,10
32,Sungai Buloh,PYL,MRT,,,600,10
33,Damansara Damai,PYL,MRT,,,600,10
34,Sri Damansara Barat,PYL,MRT,,,600,10
35,Sri Damansara Sentral,PYL,MRT,,,600,10
36,Sri Damansara Timur,PYL,MRT,,,600,10
37,Metro Prima,PYL,MRT,,,600,10
38,Kepong Baru,PYL,MRT,,,600,10
39,Jinjang,PYL,MRT,,,600,10
40,Sri Delima,PYL,MRT,,,600,10
41,Kampung Batu,PYL,MRT,,,600,10
42,Kentonmen,PYL,MRT,,,600,10
43,Jalan Ipoh,PYL,MRT,,,600,10
44,Sentul Barat,PYL,MRT,,,600,10
45,Titiwangsa,PYL,MRT,"104, 122, 179",,600,10
46,Hospital Kuala Lumpur,PYL,MRT,,,600,10
47,Ampang Park,PYL,MRT,,73,600,10
48,Persiaran KLCC,PYL,MRT,,,600,10
49,Conlay,PYL,MRT,,,600,10
50,Tun Razak Exchange (TRX),PYL,MRT,15,,600,10
51,Chan Sow Lin,PYL,MRT,"112, 130",,600,10
52,Kuchai,PYL,MRT,,,600,10
53,Taman Naga Emas,PYL,MRT,,,600,10
54,Sungai Besi,PYL,MRT,135,,600,10
55,Serdang Raya Utara,PYL,MRT,,,600,10
56,Serdang Raya Selatan,PYL,MRT,,,600,10
57,Serdang Jaya,PYL,MRT,,,600,10
58,UPM,PYL,MRT,,,600,10
59,Taman Equine,PYL,MRT,,,600,10
60,Putra Permai,PYL,MRT,,,600,10
61,16 Sierra,PYL,MRT,,,600,10
62,Cyberjaya Utara,PYL,MRT,,,600,10
63,Cyberjaya City Centre,PYL,MRT,,,600,10
64,Putrajaya Sentral,PYL,MRT,,,600,10
65,Gombak,KJL,LRT,,,600,7
66,Taman Melati,KJL,LRT,,,600,7
67,Wangsa Maju,KJL,LRT,,,600,7
68,Sri Rampai,KJL,LRT,,,600,7
69,Setiawangsa,KJL,LRT,,,600,7
70,Jelatek,KJL,LRT,,,600,7
71,Dato’ Keramat,KJL,LRT,,,600,7
72,Damai,KJL,LRT,,,600,7
73,Ampang Park,KJL,LRT,,47,600,7
74,KLCC,KJL,LRT,,,600,7
75,Kampung Baru,KJL,LRT,,,600,7
76,Dang Wangi,KJL,LRT,,176,600,7
77,Masjid Jamek,KJL,LRT,"108, 126",,600,7
78,Pasar Seni,KJL,LRT,12,,600,7
79,KL Sentral,KJL,LRT,,"11, 169",600,7
80,Bangsar,KJL,LRT,,,600,7
81,Abdullah Hukum,KJL,LRT,,,600,7
82,Kerinchi,KJL,LRT,,,600,7
83,Universiti,KJL,LRT,,,600,7
84,Taman Jaya,KJL,LRT,,,600,7
85,Asia Jaya,KJL,LRT,,,600,7
86,Taman Paramount,KJL,LRT,,,600,7
87,Taman Bahagia,KJL,LRT,,,600,7
88,Kelana Jaya,KJL,LRT,,,600,7
89,Lembah Subang,KJL,LRT,,,600,7
90,Ara Damansara,KJL,LRT,,,600,7
91,Glenmarie,KJL,LRT,154,,600,7
92,Subang Jaya,KJL,LRT,,,600,7
93,SS15,KJL,LRT,,,600,7
94,SS18,KJL,LRT,,,600,7
95,USJ7,KJL,LRT,186,,600,7
96,Taipan,KJL,LRT,,,600,7
97,Wawasan,KJL,LRT,,,600,7
98,USJ21,KJL,LRT,,,600,7
99,Alam Megah,KJL,LRT,,,600,7
100,Subang Alam,KJL,LRT,,,600,7
101,Putra Heights ,KJL,LRT,148,,600,7
102,Sentul Timur,AGL,LRT,120,,600,10
103,Sentul,AGL,LRT,121,,600,10
104,Titiwangsa,AGL,LRT,"45, 122, 179",,600,10
105,PWTC,AGL,LRT,123,,600,10
106,Sultan Ismail,AGL,LRT,124,177,600,10
107,Bandaraya,AGL,LRT,125,,600,10
108,Masjid Jamek,AGL,LRT,"77, 126",,600,10
109,Plaza Rakyat,AGL,LRT,"13, 127",,600,10
110,Hang Tuah,AGL,LRT,"128, 172",,600,10
111,Pudu,AGL,LRT,129,,600,10
112,Chan Sow Lin,AGL,LRT,"51, 130",,600,10
113,Miharja,AGL,LRT,,,600,10
114,Maluri,AGL,LRT,17,,600,10
115,Pandan Jaya,AGL,LRT,,,600,10
116,Pandan Indah,AGL,LRT,,,600,10
117,Cempaka,AGL,LRT,,,600,10
118,Cahaya,AGL,LRT,,,600,10
119,Ampang,AGL,LRT,,,600,10
120,Sentul Timur,SPL,LRT,102,,600,10
121,Sentul,SPL,LRT,103,,600,10
122,Titiwangsa,SPL,LRT,"45, 104, 179",,600,10
123,PWTC,SPL,LRT,105,,600,10
124,Sultan Ismail,SPL,LRT,106,177,600,10
125,Bandaraya,SPL,LRT,107,,600,10
126,Masjid Jamek,SPL,LRT,"77, 108",,600,10
127,Plaza Rakyat,SPL,LRT,"13, 109",,600,10
128,Hang Tuah,SPL,LRT,"110, 172",,600,10
129,Pudu,SPL,LRT,111,,600,10
130,Chan Sow Lin,SPL,LRT,"51, 112",,600,10
131,Cheras,SPL,LRT,,,600,10
132,Salak Selatan,SPL,LRT,,,600,10
133,Bandar Tun Razak,SPL,LRT,,,600,10
134,Bandar Tasik Selatan,SPL,LRT,,,600,10
135,Sungai Besi,SPL,LRT,54,,600,10
136,Bukit Jalil,SPL,LRT,,,600,10
137,Sri Petaling,SPL,LRT,,,600,10
138,Awan Besar,SPL,LRT,,,600,10
139,Muhibbah,SPL,LRT,,,600,10
140,Alam Sutera,SPL,LRT,,,600,10
141,Kinrara BK5,SPL,LRT,,,600,10
142,IOI Puchong Jaya,SPL,LRT,,,600,10
143,Pusat Bandar Puchong,SPL,LRT,,,600,10
144,Taman Perindustrian Puchong,SPL,LRT,,,600,10
145,Bandar Puteri,SPL,LRT,,,600,10
146,Puchong Perdana,SPL,LRT,,,600,10
147,Puchong Prima,SPL,LRT,,,600,10
148,Putra Heights ,SPL,LRT,101,,600,10
149,Bandar Utama,SAL,LRT,6,,600,5
150,Kayu Ara,SAL,LRT,,,600,5
151,BU11,SAL,LRT,,,600,5
152,Damansara Idaman,SAL,LRT,,,600,5
153,SS7,SAL,LRT,,,600,5
154,Glenmarie 2,SAL,LRT,91,,600,5
155,Kerjaya,SAL,LRT,,,600,5
156,Stadium Shah Alam,SAL,LRT,,,600,5
157,Dato’ Menteri,SAL,LRT,,,600,5
158,UiTM Shah Alam,SAL,LRT,,,600,5
159,Seksyen 7 Shah Alam,SAL,LRT,,,600,5
160,Bandar Baru Klang,SAL,LRT,,,600,5
161,Pasar Besar Klang,SAL,LRT,,,600,5
162,Jalan Meru,SAL,LRT,,,600,5
163,Pasar Jawa,SAL,LRT,,,600,5
164,Taman Selatan,SAL,LRT,,,600,5
165,Seri Andalas,SAL,LRT,,,600,5
166,Klang Jaya,SAL,LRT,,,600,5
167,Bandar Bukit Tinggi,SAL,LRT,,,600,5
168,Johan Setia,SAL,LRT,,,600,5
169,KL Sentral,KL,MRL,,"11, 79",600,7
170,Tun Sambanthan,KL,MRL,,,600,7
171,Maharajalela,KL,MRL,,,600,7
172,Hang Tuah,KL,MRL,"110, 128",,600,7
173,Imbi,KL,MRL,,,600,7
174,Bukit Bintang,KL,MRL,,14,600,7
175,Raja Chulan,KL,MRL,,,600,7
176,Bukit Nanas,KL,MRL,,76,600,7
177,Medan Tuanku,KL,MRL,,"106, 124",600,7
178,Chow Kit,KL,MRL,,,600,7
179,Titiwangsa,KL,MRL,"45, 104, 122",,600,7
180,Setia Jaya,SSJ,BRT,,,600,8
181,Mentari,SSJ,BRT,,,600,8
182,Sunway Lagoon,SSJ,BRT,,,600,8
183,SunMed,SSJ,BRT,,,600,8
184,SunU-Monash,SSJ,BRT,,,600,8
185,South Quay-USJ 1,SSJ,BRT,,,600,8
186,USJ7,SSJ,BRT,95,,600,8
